extra-stopwords|https://github.com/Xangis/extra-stopwords|N/A|Jason Champion|MIT|https://github.com/Xangis/extra-stopwords/blob/master/LICENSE
lemmalist-greek|https://github.com/stenskjaer/lemmalist-greek|N/A|Michael Stenskjær Christensen|GPL-3.0|https://github.com/stenskjaer/lemmalist-greek/blob/master/LICENSE
Lemmatization Lists|https://github.com/michmech/lemmatization-lists|N/A|Michal Boleslav Měchura|ODbL|https://github.com/michmech/lemmatization-lists/blob/master/LICENCE
Stopwords ISO|https://github.com/stopwords-iso/stopwords-iso|0.4.0|Gene Diaz|MIT|https://github.com/stopwords-iso/stopwords-iso/blob/master/LICENSE
